id,host_id,host_name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating
2992450,4621559,Kenneth,THIRD WARD,42.65789,-73.7537,Entire rental unit,Entire home/apt,4,1,2,2,$80.43,28,1125,77,9,3.56
3820211,19648678,Ming,SIXTH WARD,42.65222,-73.76724,Entire rental unit,Entire home/apt,3,1,1,1,$211.00,1,1125,328,317,4.75
5651579,29288920,Gregg,SECOND WARD,42.64615,-73.75966,Entire rental unit,Entire home/apt,2,1,,1,$97.00,1,1125,25,406,4.52
6623339,19648678,Ming,SIXTH WARD,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1,1,1,$160.00,1,1125,359,332,4.73
9501054,29288920,Gregg,SECOND WARD,42.64734,-73.75851,Private room in rental unit,Private room,2,1,,2,$86.00,1,1125,235,469,4.58
10768745,5691268,Elizabeth,FOURTEENTH WARD,42.66078,-73.80553,Private room in guest suite,Private room,1,1,,1,$58.00,1,1125,154,906,4.84
11253948,4259750,Peter,FIFTEENTH WARD,42.67567,-73.82438,Entire place,Entire home/apt,10,2,3,4,$277.31,1,1124,357,227,4.96
11639446,61700428,Abdullah,ELEVENTH WARD,42.67583,-73.78297,Private room in home,Private room,1,1.5,,1,$62.87,15,112,364,231,4.81
12799126,69729286,Musab,SIXTH WARD,42.65154,-73.76867,Private room in rental unit,Private room,1,1,,2,$64.00,5,300,263,29,4.83
13083497,1364123,Akhilesh,FIFTEENTH WARD,42.66972,-73.82753,Entire home,Entire home/apt,6,2,4,4,$313.00,2,1125,319,200,4.66
14316232,36438637,Chad,TENTH WARD,42.65726,-73.78219,Private room in home,Private room,1,1,,1,$51.89,18,1125,276,55,4.67
14989805,4259750,Peter,FIFTEENTH WARD,42.673512,-73.819679,Entire home,Entire home/apt,7,2,2,2,$394.00,1,730,305,143,4.95
15580397,89705052,Share,NINTH WARD,42.65651,-73.77887,Private room in home,Private room,2,1,,1,$68.50,2,1125,97,55,4.69
16531782,5691268,Elizabeth,FOURTEENTH WARD,42.66075,-73.80605,Private room in guest suite,Private room,2,1,,1,$92.00,1,1125,333,604,4.78
17238066,61700428,Abdullah,FIFTH WARD,42.67614,-73.78169,Private room in home,Private room,1,1.5,,1,$60.67,15,112,364,132,4.92
17514620,36438637,Chad,TENTH WARD,42.6584,-73.78309,Private room in home,Private room,1,1,,1,$52.43,1,1125,332,56,4.75
18341426,4259750,Peter,FIFTEENTH WARD,42.67637,-73.82395,Entire home,Entire home/apt,6,1,2,3,$411.50,2,1125,350,58,4.97
19527043,15223767,Ed,NINTH WARD,42.65312,-73.78161,Private room in home,Private room,2,1,,1,$92.00,1,1125,228,92,4.96
20519885,67171774,Michael And Flerida,FOURTEENTH WARD,42.65846,-73.80201,Entire home,Entire home/apt,9,2,5,6,$388.00,4,730,334,132,4.94
20620135,4259750,Peter,FIFTEENTH WARD,42.675,-73.82382,Entire home,Entire home/apt,6,1,2,3,$246.49,1,1125,324,102,4.91
20633175,65414985,James,SEVENTH WARD,42.64939,-73.76865,Entire rental unit,Entire home/apt,4,1,1,2,$194.00,2,1125,355,132,4.91
20671966,98744672,Bela,NINTH WARD,42.65532,-73.78244,Entire home,Entire home/apt,2,1,1,1,$128.50,2,1125,258,54,4.89
21052414,135717458,Chad,THIRTEENTH WARD,42.66565,-73.77975,Private room in home,Private room,2,1,,1,$51.23,18,1125,359,49,4.8
21392315,98744672,Bela,NINTH WARD,42.65372,-73.78244,Entire rental unit,Entire home/apt,2,1,1,1,$131.50,2,1125,259,140,4.86
21449583,4259750,Peter,FIFTEENTH WARD,42.67547,-73.82402,Entire home,Entire home/apt,10,1,4,5,$845.75,4,1125,364,9,5
21752534,152762198,Allen,TENTH WARD,42.66045,-73.77833,Entire rental unit,Entire home/apt,4,1,1,2,$114.33,3,730,236,191,4.75
21769213,135717458,Chad,ELEVENTH WARD,42.66572,-73.77834,Private room in home,Private room,2,,,,,18,1125,17,36,4.78
21769439,135717458,Chad,ELEVENTH WARD,42.66703,-73.77842,Private room in home,Private room,1,1,,1,$49.00,20,1125,303,28,4.79
22398196,98744672,Bela,NINTH WARD,42.65501,-73.78122,Private room in home,Private room,2,1,,1,$103.00,2,1125,312,142,4.91
24606880,98744672,Bela,NINTH WARD,42.65431,-73.78178,Private room in guest suite,Private room,2,1,,1,$97.00,2,1125,352,58,4.93
